k,rep,inference_ms,client_ms,http_code
1,1,76.46918199998254,163,200
1,2,73.47553399995377,122,200
1,3,23.3961310000268,63,200
1,4,27.521694999904867,66,200
1,5,26.72754500008523,66,200
1,6,61.00177700000131,100,200
1,7,61.30710099978387,106,200
1,8,27.139614000134316,66,200
1,9,43.937292999999045,86,200
1,10,45.64953699991747,103,200
1,11,58.18600800012064,107,200
1,12,43.601212999874406,86,200
1,13,42.893155999990995,104,200
1,14,22.053761000279337,68,200
1,15,25.153233999844815,64,200
1,16,22.374597000180074,68,200
1,17,37.28169699979844,94,200
1,18,54.75247100002889,97,200
1,19,43.23324100005266,85,200
1,20,82.83390800033885,123,200
5,1,47.59854499980065,86,200
5,2,48.55384499978754,85,200
5,3,66.22475399990435,105,200
5,4,45.44794599996749,87,200
5,5,68.14429699988978,105,200
5,6,22.82496899988473,65,200
5,7,65.5512789999193,106,200
5,8,26.776389999668027,66,200
5,9,57.67735700010235,106,200
5,10,66.41901500006497,105,200
5,11,27.15864199990392,67,200
5,12,28.56741300001886,65,200
5,13,29.422131000046647,65,200
5,14,6.676897000033932,47,200
5,15,6.625781999900937,66,200
5,16,39.69041099981041,86,200
5,17,89.23782700003358,126,200
5,18,71.03486500000145,109,200
5,19,41.634536999936245,84,200
5,20,28.15796599998066,66,200
10,1,19.28940000016155,57,200
10,2,28.314822999618627,65,200
10,3,66.37415199975294,106,200
10,4,49.74989599986657,93,200
10,5,39.87356900006489,80,200
10,6,65.97057599992695,105,200
10,7,50.3730440000254,86,200
10,8,39.82095100036531,87,200
10,9,44.91977499992572,85,200
10,10,30.191445000127715,67,200
10,11,6.6529860000628105,65,200
10,12,6.688293000024714,45,200
10,13,6.740559000263602,65,200
10,14,6.608636000237311,47,200
10,15,45.246715000303084,86,200
10,16,62.46659699991142,103,200
10,17,11.894897000274796,50,200
10,18,44.955729999855976,83,200
10,19,45.37581000022328,85,200
10,20,46.39977499982706,86,200
20,1,67.16357899995273,106,200
20,2,27.499224999701255,66,200
20,3,61.1292680000588,108,200
20,4,43.49148499977673,84,200
20,5,48.172993999742175,90,200
20,6,23.738971000057063,60,200
20,7,26.86480100010158,66,200
20,8,40.162594000321405,86,200
20,9,28.00836899996284,65,200
20,10,44.09720300009212,86,200
20,11,45.79367099995579,105,200
20,12,66.13851200017962,107,200
20,13,45.28325199999017,85,200
20,14,40.47912999976688,85,200
20,15,10.663737999948353,46,200
20,16,102.08392999993521,147,200
20,17,49.522609999712586,87,200
20,18,6.77796500031036,49,200
20,19,6.847579999885056,65,200
20,20,36.576233000232605,82,200
50,1,44.85147700006564,85,200
50,2,26.995771000201785,66,200
50,3,36.66126999996777,86,200
50,4,44.7250739998708,85,200
50,5,20.980666000014025,66,200
50,6,6.878567999592633,47,200
50,7,6.721434999690246,46,200
50,8,45.72757400001137,86,200
50,9,39.010604999930365,87,200
50,10,61.70790299984219,102,200
50,11,10.745383000084985,52,200
50,12,42.03949700013254,79,200
50,13,28.20088900034534,66,200
50,14,23.45939199994973,67,200
50,15,46.34330799990494,83,200
50,16,28.47476099987034,67,200
50,17,14.831365000191,67,200
50,18,6.751947999873664,53,200
50,19,40.81235000012384,79,200
50,20,60.01481600014813,106,200
100,1,26.981143999819324,65,200
100,2,82.57423100030792,124,200
100,3,11.776498999552132,66,200
100,4,6.818239000040194,64,200
100,5,6.821750000199245,64,200
100,6,6.723181999859662,47,200
100,7,42.53479699991658,85,200
100,8,45.545230000243464,104,200
100,9,44.92100500010565,87,200
100,10,46.213285000249016,86,200
100,11,45.25244000024031,104,200
100,12,44.09205699994345,87,200
100,13,15.010087000064232,65,200
100,14,6.741223000062746,61,200
100,15,6.8676480000249285,47,200
100,16,6.8273629999566765,64,200
100,17,22.799576000124944,66,200
100,18,44.06151699959082,84,200
100,19,25.464170999839553,84,200
100,20,44.643217000157165,88,200
